step,obs_mean_r,obs_mean_g,obs_mean_b,road_offset,action_steering,action_gas,action_brake,reward,cumulative_reward,terminated
0,116,140,90,0.2699,0.2,0.7385,0.0358,0.4229,0.4229,False
1,112,137,99,0.4596,0.2628,0.7002,0.0096,0.3774,0.8003,False
2,109,137,80,0.2793,0.1602,0.7368,0.0189,0.4536,1.2539,False
3,107,143,92,0.2635,0.2058,0.7328,0.004,0.4881,1.742,False
4,120,134,88,0.2951,0.2566,0.7408,0.0,0.4111,2.1531,False
5,113,140,89,0.3952,0.3679,0.6143,0.0152,0.2783,2.4313,False
6,112,139,85,0.3086,0.1925,0.8322,0.0416,0.4944,2.9257,False
7,105,138,89,0.3857,0.2465,0.6409,0.0262,0.3219,3.2476,False
8,115,142,94,0.371,0.3162,0.6105,0.0,0.4204,3.6681,False
9,113,137,88,0.3854,0.3685,0.543,0.0013,0.3032,3.9712,False
10,116,141,88,0.2339,0.2518,0.6811,0.0173,0.4113,4.3825,False
11,116,148,92,0.3979,0.3408,0.7046,0.0058,0.3573,4.7398,False
12,122,134,82,0.3097,0.227,0.831,0.0067,0.5639,5.3037,False
13,106,133,85,0.459,0.3003,0.6773,0.0,0.4228,5.7265,False
14,109,138,82,0.4257,0.3609,0.6334,0.0,0.3078,6.0343,False
15,114,145,85,0.3785,0.3847,0.6644,0.0,0.4259,6.4602,False
16,112,135,85,0.4281,0.2709,0.7054,0.0,0.4961,6.9563,False
17,120,130,97,0.277,0.1585,0.7663,0.0,0.4243,7.3807,False
18,123,142,93,0.3973,0.3297,0.6563,0.0,0.3762,7.7568,False
19,114,139,81,0.4437,0.3151,0.7031,0.0,0.3559,8.1127,False
20,103,136,97,0.3959,0.2626,0.638,0.0243,0.3427,8.4554,False
21,109,139,88,0.4564,0.4637,0.5669,0.0,0.3847,8.8401,False
22,108,136,86,0.3514,0.1635,0.7521,0.0039,0.4705,9.3106,False
23,114,138,86,0.3871,0.1124,0.8039,0.0,0.5021,9.8127,False
24,109,136,84,0.4011,0.2973,0.6466,0.0,0.3179,10.1306,False
25,117,135,97,0.3019,0.2322,0.694,0.0,0.3669,10.4975,False
26,110,130,84,0.3403,0.2132,0.712,0.0,0.407,10.9045,False
27,115,143,86,0.3302,0.2638,0.7097,0.0095,0.4102,11.3147,False
28,106,136,88,0.3426,0.2243,0.7091,0.0,0.364,11.6788,False
29,109,146,90,0.3113,0.2649,0.7211,0.0,0.4692,12.1479,False
30,109,143,97,0.288,0.193,0.7322,0.0,0.4408,12.5887,False
31,114,137,92,0.3181,0.1537,0.8088,0.0,0.3536,12.9423,False
32,116,140,96,0.2045,0.2464,0.7574,0.0,0.4611,13.4034,False
33,111,146,92,0.1894,0.0774,0.8743,0.0,0.5066,13.91,False
34,113,143,105,0.2986,0.2106,0.7513,0.0,0.4364,14.3464,False
35,117,145,94,0.2239,0.1904,0.7103,0.0251,0.4236,14.77,False
36,112,141,94,0.2327,0.2152,0.7183,0.0112,0.4425,15.2125,False
37,111,147,93,0.1882,0.1129,0.8109,0.0013,0.5115,15.724,False
38,129,146,89,0.1578,0.1588,0.7423,0.0104,0.4318,16.1558,False
39,115,151,89,0.1786,0.1623,0.7273,0.0043,0.4532,16.6089,False
40,117,144,87,0.1614,0.1612,0.7258,0.0048,0.4616,17.0705,False
41,118,143,95,0.2484,0.0753,0.827,0.0,0.4844,17.5549,False
42,116,139,96,0.1726,0.1241,0.7734,0.0007,0.4165,17.9714,False
43,115,154,88,0.091,0.0745,0.8409,0.0,0.6305,18.6019,False
44,116,142,94,0.1188,0.1375,0.7798,0.0,0.4542,19.0561,False
45,117,140,94,0.0593,0.0486,0.8106,0.0,0.5402,19.5962,False
46,124,151,94,0.1205,0.0848,0.7885,0.0,0.6006,20.1968,False
47,115,143,101,0.0784,-0.0182,0.8779,0.0,0.5284,20.7252,False
48,124,155,82,0.0176,0.0581,0.7835,0.0048,0.5075,21.2327,False
49,115,151,91,0.0453,-0.0284,0.8552,0.0,0.5717,21.8044,False
50,107,147,87,0.0264,-0.0174,0.8283,0.0106,0.5272,22.3316,False
51,116,150,92,0.0227,-0.0646,0.8568,0.0,0.5389,22.8705,False
52,112,147,90,-0.0421,-0.0599,0.8024,0.0,0.4485,23.319,False
53,110,147,89,-0.0393,0.1149,0.8309,0.0,0.5694,23.8884,False
54,118,152,91,-0.019,-0.1183,0.8297,0.0452,0.4912,24.3796,False
55,124,153,93,0.0102,0.0177,0.8439,0.0313,0.5748,24.9544,False
56,116,142,88,-0.0567,-0.0743,0.8201,0.0,0.5489,25.5033,False
57,124,144,91,-0.0746,0.0101,0.8515,0.0,0.5806,26.0839,False
58,123,153,96,-0.0793,0.03,0.8132,0.0,0.5633,26.6473,False
59,116,161,96,-0.1077,-0.0582,0.8192,0.0,0.5502,27.1974,False
60,123,137,104,-0.1696,-0.1029,0.7937,0.0314,0.513,27.7104,False
61,112,149,90,-0.1582,-0.1373,0.7632,0.0,0.4546,28.165,False
62,117,139,90,-0.2328,-0.2327,0.7267,0.0,0.4097,28.5746,False
63,116,146,102,-0.1634,-0.14,0.711,0.0,0.4253,29.0,False
64,117,139,93,-0.1853,-0.24,0.7183,0.0234,0.4699,29.4699,False
65,114,152,95,-0.1675,-0.2131,0.7682,0.0011,0.5055,29.9754,False
66,112,138,89,-0.2743,-0.1907,0.7668,0.0007,0.4842,30.4596,False
67,120,141,94,-0.1754,-0.1586,0.7209,0.0,0.5016,30.9612,False
68,113,147,88,-0.2317,-0.1823,0.6589,0.0209,0.3405,31.3017,False
69,104,140,84,-0.3002,-0.2482,0.7468,0.0062,0.4743,31.776,False
70,125,146,91,-0.2348,-0.0358,0.7986,0.0,0.5023,32.2783,False
71,122,140,92,-0.2204,-0.1343,0.7839,0.0,0.4998,32.7781,False
72,115,143,91,-0.2225,-0.2053,0.7396,0.0,0.4537,33.2317,False
73,110,144,87,-0.2833,-0.1814,0.7151,0.0368,0.4476,33.6793,False
74,107,133,94,-0.3385,-0.1932,0.7297,0.0,0.4662,34.1456,False
75,108,127,88,-0.4937,-0.405,0.6119,0.0012,0.2601,34.4057,False
76,117,140,94,-0.3213,-0.2204,0.7225,0.0,0.4612,34.8669,False
77,122,142,89,-0.3487,-0.3228,0.6695,0.0,0.3346,35.2015,False
78,126,132,92,-0.274,-0.2158,0.8267,0.0043,0.5175,35.7189,False
79,111,142,90,-0.3022,-0.3028,0.7423,0.0,0.4037,36.1226,False
80,114,143,88,-0.2629,-0.1977,0.7599,0.0033,0.4535,36.5761,False
81,111,147,82,-0.3555,-0.263,0.7418,0.0389,0.4156,36.9917,False
82,111,146,88,-0.2628,-0.2326,0.6906,0.0109,0.3999,37.3916,False
83,124,149,98,-0.229,-0.1025,0.8282,0.0264,0.5656,37.9572,False
84,113,129,84,-0.4067,-0.28,0.7121,0.0,0.4265,38.3837,False
85,111,145,88,-0.3886,-0.227,0.7396,0.0162,0.418,38.8017,False
86,110,136,89,-0.4237,-0.3038,0.7468,0.0,0.3872,39.189,False
87,117,141,85,-0.3749,-0.3121,0.6565,0.03,0.3704,39.5593,False
88,106,144,76,-0.375,-0.359,0.7549,0.0,0.4801,40.0394,False
89,113,134,83,-0.3534,-0.2404,0.6966,0.0199,0.4254,40.4649,False
90,102,141,90,-0.3103,-0.2037,0.6344,0.0,0.3736,40.8385,False
91,121,145,92,-0.2577,-0.1897,0.7098,0.0047,0.4099,41.2483,False
92,115,135,87,-0.3884,-0.229,0.7615,0.0,0.4643,41.7127,False
93,105,141,98,-0.2795,-0.1699,0.7657,0.0,0.5065,42.2191,False
94,120,137,85,-0.3837,-0.2129,0.7283,0.0,0.4436,42.6627,False
95,118,144,93,-0.2771,-0.2296,0.7454,0.0226,0.5425,43.2052,False
96,109,145,84,-0.3404,-0.2775,0.7207,0.0,0.3582,43.5634,False
97,116,143,97,-0.2368,-0.149,0.7834,0.0,0.5419,44.1053,False
98,114,145,100,-0.2694,-0.2621,0.6834,0.0,0.3422,44.4475,False
99,115,142,92,-0.2907,-0.1698,0.6919,0.0179,0.4378,44.8853,False
100,102,149,86,-0.2773,-0.1029,0.7805,0.0,0.4717,45.3571,False
101,116,146,90,-0.2882,-0.2019,0.7313,0.0339,0.3983,45.7554,False
102,119,137,87,-0.2624,-0.123,0.9084,0.0,0.6663,46.4217,False
103,112,141,99,-0.2534,-0.2606,0.749,0.0,0.4344,46.856,False
104,125,138,90,-0.2489,-0.2215,0.7641,0.0,0.4201,47.2761,False
105,119,134,97,-0.1969,-0.2288,0.6593,0.0,0.4178,47.694,False
106,114,149,89,-0.2063,-0.0705,0.9049,0.001,0.6618,48.3558,False
107,119,141,89,-0.2587,-0.2231,0.7037,0.0233,0.3905,48.7463,False
108,123,146,86,-0.1481,-0.1226,0.7584,0.0,0.4456,49.1919,False
109,115,137,91,-0.2737,-0.2789,0.7213,0.0061,0.4747,49.6666,False
110,111,138,89,-0.1512,-0.0382,0.8393,0.0,0.6035,50.2701,False
111,119,140,94,-0.2792,-0.2482,0.7118,0.0192,0.4506,50.7207,False
112,114,144,80,-0.1807,-0.1627,0.8016,0.0298,0.4127,51.1334,False
113,111,146,94,-0.198,-0.1809,0.7158,0.0,0.4761,51.6096,False
114,112,146,99,-0.226,-0.0925,0.7808,0.0142,0.4582,52.0678,False
115,106,153,85,-0.2049,-0.1384,0.7272,0.0,0.491,52.5588,False
116,120,142,98,-0.2603,-0.077,0.7471,0.0108,0.5396,53.0983,False
117,109,136,93,-0.3236,-0.2734,0.6835,0.0222,0.4096,53.5079,False
118,116,153,88,-0.1593,-0.1314,0.7977,0.0281,0.5549,54.0628,False
119,112,140,87,-0.2202,-0.2868,0.7181,0.0103,0.4219,54.4846,False
120,108,139,88,-0.3599,-0.2544,0.7242,0.0,0.4119,54.8966,False
121,115,144,90,-0.1677,-0.163,0.7071,0.0063,0.4422,55.3388,False
122,115,144,96,-0.1265,-0.0232,0.8235,0.0196,0.5282,55.8669,False
123,121,138,90,-0.1897,-0.1165,0.7631,0.0111,0.6002,56.4671,False
124,111,144,91,-0.1749,-0.0914,0.8497,0.0,0.5325,56.9996,False
125,108,135,93,-0.2746,-0.0642,0.8302,0.0,0.4277,57.4273,False
126,115,145,85,-0.1281,-0.105,0.7947,0.0,0.5018,57.9292,False
127,117,147,86,-0.2301,-0.1889,0.7158,0.0,0.3361,58.2653,False
128,108,135,89,-0.2083,-0.1461,0.7914,0.0109,0.5253,58.7906,False
129,111,141,93,-0.2196,-0.247,0.7708,0.0,0.4735,59.2641,False
130,110,136,86,-0.2871,-0.2192,0.6313,0.0,0.4039,59.6679,False
131,119,141,91,-0.1169,-0.1022,0.779,0.0,0.5597,60.2276,False
132,121,142,100,-0.1928,-0.1095,0.7582,0.0024,0.5024,60.7301,False
133,117,139,91,-0.2098,-0.1261,0.7946,0.0132,0.4619,61.192,False
134,120,146,86,-0.0874,-0.0337,0.8147,0.0,0.5245,61.7165,False
135,110,143,83,-0.3042,-0.2507,0.7046,0.0181,0.4301,62.1466,False
136,118,146,89,-0.2147,-0.1791,0.7544,0.0054,0.4379,62.5846,False
137,116,139,91,-0.3075,-0.0919,0.716,0.0,0.3961,62.9807,False
138,116,144,91,-0.2474,-0.1928,0.8389,0.0368,0.5063,63.487,False
139,119,142,90,-0.245,-0.1985,0.7924,0.0143,0.4866,63.9736,False
140,120,143,92,-0.1979,-0.2213,0.718,0.0,0.4577,64.4313,False
141,118,138,85,-0.207,-0.1012,0.7909,0.0,0.4904,64.9217,False
142,120,143,95,-0.2966,-0.1587,0.7077,0.016,0.4903,65.412,False
143,116,139,95,-0.3106,-0.1981,0.718,0.0,0.3809,65.7929,False
144,110,144,86,-0.3079,-0.2987,0.6238,0.0113,0.3914,66.1843,False
145,115,144,92,-0.1902,-0.0477,0.8693,0.0,0.7371,66.9213,False
146,119,131,99,-0.346,-0.2475,0.7207,0.0115,0.5035,67.4248,False
147,116,147,91,-0.3039,-0.2857,0.6897,0.0,0.3376,67.7624,False
148,105,140,90,-0.2963,-0.2052,0.7441,0.0,0.5464,68.3088,False
149,105,134,91,-0.3465,-0.3405,0.6754,0.0,0.4355,68.7443,False
150,110,135,86,-0.3574,-0.3219,0.7068,0.0032,0.408,69.1523,False
151,124,141,92,-0.3079,-0.1691,0.6977,0.0,0.4066,69.5589,False
152,107,147,92,-0.3016,-0.218,0.7395,0.0266,0.5051,70.0641,False
153,111,145,85,-0.3761,-0.2941,0.6751,0.0418,0.4761,70.5402,False
154,108,142,87,-0.2875,-0.2809,0.6317,0.0,0.3175,70.8577,False
155,106,136,98,-0.2886,-0.1713,0.7803,0.0152,0.4335,71.2912,False
156,108,143,88,-0.3695,-0.3132,0.6283,0.0432,0.2321,71.5232,False
157,110,149,95,-0.3418,-0.2285,0.7402,0.0,0.5348,72.0581,False
158,106,141,90,-0.3916,-0.2871,0.6915,0.0278,0.4245,72.4826,False
159,109,133,84,-0.3306,-0.3016,0.6923,0.0154,0.3164,72.799,False
160,102,136,83,-0.4459,-0.2833,0.7099,0.0126,0.3558,73.1548,False
161,110,142,101,-0.3141,-0.2317,0.7099,0.0,0.3858,73.5405,False
162,122,148,94,-0.307,-0.1883,0.7641,0.0438,0.5102,74.0507,False
163,117,144,84,-0.3232,-0.2383,0.7022,0.0,0.415,74.4657,False
164,115,141,92,-0.4014,-0.3535,0.6791,0.0156,0.3992,74.8649,False
165,114,149,89,-0.4253,-0.2542,0.6303,0.0,0.4071,75.272,False
166,101,129,90,-0.3643,-0.2977,0.6985,0.0,0.3845,75.6565,False
167,121,127,91,-0.459,-0.4482,0.5904,0.0,0.345,76.0014,False
168,108,145,84,-0.3013,-0.2155,0.7403,0.0,0.4842,76.4856,False
169,114,137,81,-0.3125,-0.1737,0.6642,0.0,0.4376,76.9233,False
170,113,145,85,-0.384,-0.3327,0.6565,0.0,0.3607,77.284,False
171,118,145,92,-0.3792,-0.2791,0.6775,0.0043,0.4211,77.7051,False
172,102,139,88,-0.4142,-0.33,0.648,0.0,0.3321,78.0372,False
173,115,132,89,-0.3897,-0.2805,0.6717,0.0091,0.4536,78.4908,False
174,118,134,92,-0.4157,-0.3765,0.6143,0.0,0.262,78.7528,False
175,110,135,90,-0.3425,-0.1959,0.7441,0.0038,0.5008,79.2536,False
176,118,145,80,-0.4161,-0.3219,0.7125,0.0,0.4173,79.6709,False
177,106,157,93,-0.4454,-0.3481,0.7178,0.0175,0.4807,80.1515,False
178,111,144,85,-0.424,-0.2739,0.6923,0.0122,0.4379,80.5895,False
179,111,141,87,-0.3249,-0.3149,0.6997,0.0,0.3933,80.9828,False
180,123,139,92,-0.2895,-0.2332,0.7476,0.0,0.3705,81.3533,False
181,115,145,82,-0.2729,-0.221,0.7518,0.0228,0.5174,81.8707,False
182,120,138,80,-0.2828,-0.3401,0.7373,0.0096,0.3632,82.2339,False
183,114,141,90,-0.2501,-0.1311,0.7145,0.0,0.4877,82.7216,False
184,114,144,91,-0.2605,-0.209,0.8043,0.0035,0.5713,83.2929,False
185,123,148,89,-0.2626,-0.21,0.7572,0.004,0.5322,83.8251,False
186,122,155,91,-0.2163,-0.162,0.7657,0.0,0.5548,84.3799,False
187,114,129,87,-0.2185,-0.1302,0.7928,0.0,0.4833,84.8632,False
188,112,136,89,-0.204,-0.0909,0.7827,0.0267,0.4673,85.3305,False
189,107,130,78,-0.2063,-0.1375,0.7849,0.0,0.5938,85.9243,False
190,112,141,84,-0.2709,-0.1617,0.7139,0.0,0.4839,86.4082,False
191,116,147,99,-0.1911,-0.0548,0.8117,0.0012,0.4295,86.8377,False
192,113,145,90,-0.1542,-0.1279,0.8235,0.0,0.5941,87.4318,False
193,113,140,91,-0.1179,-0.1008,0.8066,0.0,0.486,87.9178,False
194,122,146,86,-0.1629,-0.0201,0.8307,0.0081,0.506,88.4238,False
195,117,146,100,-0.1094,-0.168,0.7873,0.0,0.4529,88.8767,False
196,114,147,92,-0.0803,-0.0066,0.8847,0.0006,0.6581,89.5348,False
197,117,144,98,-0.0048,-0.0725,0.85,0.0026,0.5329,90.0677,False
198,121,142,91,-0.0965,-0.0468,0.7902,0.0004,0.5567,90.6244,False
199,119,142,88,-0.1347,-0.0332,0.8342,0.0,0.5528,91.1772,False
200,121,151,95,-0.0492,-0.1131,0.7458,0.0,0.4843,91.6615,False
201,130,155,92,0.011,0.0386,0.8036,0.0122,0.5608,92.2223,False
202,119,144,98,-0.063,0.058,0.8288,0.0,0.5013,92.7236,False
203,112,146,89,0.0508,0.0515,0.777,0.0,0.5923,93.3159,False
204,122,147,96,-0.0345,-0.0295,0.8584,0.0081,0.5324,93.8482,False
205,117,142,94,0.1012,0.1162,0.7793,0.0,0.4697,94.318,False
206,122,139,97,0.0582,0.0935,0.775,0.0,0.5776,94.8956,False
207,113,146,99,0.0181,0.0138,0.8099,0.0,0.6545,95.5501,False
208,116,148,88,0.0822,0.0953,0.7908,0.0,0.4359,95.9859,False
209,116,149,89,0.116,0.0958,0.8447,0.0253,0.6104,96.5964,False
